PAICS	GTPBP4
PAICS	DDO
PAICS	RPL11
PAICS	EEF1A1
PAICS	TCP1
PAICS	HSPA4
PAICS	DHODH
PAICS	POLH
PAICS	RPS3A
PAICS	NCAPG
PAICS	CSE1L
PAICS	C1QBP
PAICS	MCM4
PAICS	CDK1
PAICS	AASDHPPT
PAICS	HSPD1
SP2	MSR1
SP2	LPCAT3
SP2	RIN3
HOXA10	CREBBP
HOXA10	EGR1
KLF9	TSC22D3
KLF9	PCSK1
KLF9	HOXA10
SLC35D3	SLC35C1
TOR1AIP1	ZNF775
TOR1AIP1	SYCE1L
TOR1AIP1	SUN1
TOR1AIP1	QSOX1
TOR1AIP1	CEP350
TOR1AIP1	TOR2A
TNFRSF6B	ACKR1
LRRN3	DUSP26
LRRN3	PRUNE2
LRRN3	CDC42BPA
LRRN3	COG5
CAPRIN1	FUS
RBM11	PAXBP1
RBM11	PTBP1
RBM11	RBM15
SHKBP1	HIP1R
SHKBP1	TTBK2
SHKBP1	STAG2
ANKRD52	EIF3J
CNTNAP5	RAPGEF5
CNTNAP5	SORCS3
CNTNAP5	FAM49A
CNTNAP5	CNTN4
OCA2	STAT2
OCA2	DDX10
OCA2	SP100
OCA2	SLC45A1
OCA2	GABRB3
OCA2	IGF1R
OCA2	ACP1
OCA2	CSF1R
NDRG2	ATP1B1
NDRG2	SUMO1
NDRG2	SGK1
KIAA0556	UBOX5
KIAA0556	DHODH
KATNB1	KIAA1731
KATNB1	CEP41
KATNB1	TTLL11
KATNB1	PFDN4
KATNB1	TUBB
KATNB1	KIAA0556
DAB2IP	FBXL15
DAB2IP	MAPK8IP1
TBC1D10B	DENND1A
TBC1D10B	RAB3A
TBC1D10B	TBC1D22A
TBC1D10B	SYN1
TBC1D10B	TBC1D13
TBC1D10B	RAB2A
TBC1D10B	EIF3K
NRD1	FNTA
NRD1	NCOR1
NRD1	C1QBP
ELOVL4	EPS8L1
ELOVL4	ACLY
ELOVL4	CLEC2D
ARL10	ARFGEF1
CPTP	SMPD1
CPTP	RERE
CPTP	CERK
TENM1	GNAS
TENM1	LXN
TENM1	CXXC1
LARP7	NCBP2
LARP7	RPL11
LARP7	SREK1
LARP7	NELFA
IRX5	MSX1
IRX5	HOXA10
IRX5	SCN3B
IRX5	KCNE4
ANKRD28	SKAP2
ANKRD28	RIPK4
ANKRD28	GM2A
ANKRD28	PGM2L1
ANKRD28	LRCH3
ANKRD28	NCOR1
ANKRD28	HNRNPK
VN1R2	FPR3
TMEM204	GTF3C6
TMEM204	FAM179B
TMEM204	RRP36
PCSK1	ARFGEF1
PCSK1	CDK5R2
PCSK1	PTPRN
PCSK1	NEUROG3
PCSK1	SST
PCSK1	SCG2
PCSK1	IAPP
WDR78	FUS
WDR78	KAT2A
WDR78	CCDC101
WDR78	NUDCD3
WDR78	SNX4
WDR78	SMIM14
WDR78	DYNC1H1
WDR78	PEX19
WDR78	DYNC1LI1
FBXO28	FAM53A
FBXO28	FBXO3
FBXO28	IL17RA
FBXO28	LRCH3
FBXO28	FBXO9
INF2	BSCL2
INF2	USH1C
INF2	PDSS2
INF2	MFF
INF2	ANLN
EN1	SLC6A3
EN1	CALB1
EN1	ZIC1
LBH	EN1
PCDH8	PLA2G6
PCDH8	KLHL1
MAFA	IAPP
MAFA	IGF1R
MAFA	INSR
MAFA	NEUROG3
SOX1	FGF13
SOX1	EN1
SOX1	DPYSL5
SOX1	ZIC1
NR2F6	NCOR1
PHOX2A	SLC6A2
PHOX2A	HCN4
PHOX2A	NR2F6
JMJD6	CREM
JMJD6	C21orf2
JMJD6	KDM6A
JMJD6	KIAA0556
JMJD6	KDM6B
JMJD6	SCAF11
JMJD6	PRPF38B
JMJD6	WHSC1L1
JMJD6	SREK1
JMJD6	OGDH
ASTN2	MEF2D
SCIN	NCF1
SCIN	P2RY10
FAM178A	PEX1
NUDT6	NUDT12
NUDT4	NUDT6
NUDT4	NUDT12
NUDT4	SEC61B
CEND1	FAIM2
CEND1	MAB21L2
CYB561D2	CYB561
CYB561D2	RASSF1
ADO	ADORA3
TBC1D22A	RAB8B
TBC1D22A	TRABD
TBC1D22A	ARFGEF1
CGGBP1	URB1
CGGBP1	ZNF654
ACOT7	RPL22
ACOT7	TMED5
ACOT7	CYB5R4
ACOT7	NSDHL
ABCB9	E2F6
ABCB9	KHNYN
ABCB9	LAMP2
ABCB9	ABCF2
TMEM33	TLX2
TMEM33	GLE1
TMEM33	RTN3
TMEM33	RTN2
TMEM33	NUP214
TMEM33	TAPT1
ATP10B	UNC13C
ATP10B	UBE3A
KLK13	MAGED4B
KLK13	KNG1
FHL1	ADRA1D
FHL1	RING1
FHL1	BAG3
FHL1	STAT2
FHL1	STAT1
FHL1	AMIGO1
IQSEC3	PAK7
IQSEC3	NMT2
IQSEC3	ARFGAP2
IQSEC3	MDGA2
TREM1	CEACAM4
GPRC5B	ZC3H4
GPRC5B	ZNF263
FASTKD3	LRPPRC
RNF145	MCM4
RNF145	RNF130
RNF145	LPCAT3
RNF145	FAF2
